score,review,y
4,,1
3,양념이 너무 달다. 그래도 배는 부름,0
1,알바생들이 교육이 잘안된건지 융통성이 없던건지ㅋㅋㅋㅋㅋ 볶음밥시켰는데 불이 계속 안켜졌는데 안켜지면 가스통을 바꾸던가 다른곳에서 볶아와야하는거아님? 근데 또 안되네 이러면서 우물쭈물하다가 밥만 비비고 가서 볶음밥이 아니라 비빔밥먹음ㅋ ,0
1,"먹다 수세미? 조각 나와서 사장 나와라고 하고 싶었지만, 용기가 없어서 그냥 나옴  가지 마세요.",0
4,배불러요,1
1,"옛전에는 이러지 않았는데 아쉽네요. 닭갈비랑 볶음밥 양이 엄청 작아졌고, 명동점은 닭갈비에 소스가 남아있지않으면 소스 조금 더 가져와서 간이 맞게 볶아주고 닭 남았으면 닭도 같이 볶아줍니다. 대체 직원교육을 어떻게 시켰는지 사장님 마인드가 다 보여요. 닭갈비랑 토핑 추가 주문하려는데 ""닭갈비 는 2인분 부터 주문 가능하세요."" 하더니 그냥 가버리고 토핑은 ...",0
1,진심으로 돈 아까웠던곳 양도 너무 적고 중간맛은 밍밍 볶음밥 시키고 나서 거의 다 남겼습니다 고추장에 설탕 왕창 부은맛이구요 진짜로 리뷰 거의 안쓰는데 너무 한거같습니다….,0
5,사장님들 친절한 서비스 감사합니다!,1
2,맛있는지 모르겠다 너무 달고 짜고 좀 맛에대한 퀄리티가 많이 떨어짐 그냥 치즈넣어서 사진으로만 이쁘게 찍히는 닭갈비임 양도 적다 3인분 시켰는데 딱봐도 그냥 2인분 준거같음 사리 많이 시켰는데 그만큼 고기가 줄어듬 ㅋㅋ 직원들도 분주하고 산만함 일은 안하고 농땡이피고 음악소리에 춤추고 지들끼리 장난치고 손님들 밥먹는데 무례함,0
3,맛있는지는 모르겠어요. 후각 좋은 사람들은 닭 잡내 맡을 수 있어요. 특별히 반찬도 없고 아무것도 없고 닭갈비만 나오는데 양이 많은것도 아니예요. 근데 가격은 일반 닭갈비집에 비해 비쌈.,0
3,치즈 플레이팅?이 예쁘게 돼서 유명한 것 같은데 맛은 아무 닭갈비집이랑 차이는 없다. 가격만 좀 더 높을 뿐.,0
2,"비주얼에 비해 맛은? 음...  1. 드럼스틱살, 양배추, 떡, 조미료 가득한 양념으로만 맛을 내서그런지 3개 정도 먹다보면 질림.  2. 당면이 다 불어서 나옴. 어제 만들어놓은 음식 먹는 느낌.  3. 오랜만에 닭이다싶어 젓가락으로 집으면 양배추임.  4. 중간맛은 안 매운맛임.   총평) 마늘, 양파 등을 추가하여 재료를 조금 더 풍성하게 할 필요가 ...",0
5,저번에 맛있어서 또 방문했는데 역시나 맛있어요!!! 이러다 단골될듯ㅋㅋ,1
5,깔끔하고 맛있어요 !! 볶음밥도 원래 닭갈비 양념이랑 맛이 분리되는데 이곳은 그렇지 않아 정말 좋았어요 ㅎㅎ 직원분들도 친절하시네요 !!! 왕추천입니다,1
5,우선 닭갈비 솔직히 맛있음 양념이 자극적이지 않고 중독성 있음 직원들 친절함 아래 리뷰들 이해가 안감 가게가 바뀐건지 내가 알수없지만 참고로 난 만족한곳들만 리뷰함 ,1
5,너무 맛있습니다 !!  한끼 식사로 좋네요 ㅎㅎ,1
1,사리를 추가하면 그만큼 고기가 없어짐 ㅋㅋㅋ 강남역에 닭갈비집이 없어서 장사가 잘되는듯,0
2,"블로그에 또 속았네요...ㅜㅜ  맛은평범. 4인분 중 닭고기양은 엄청 조금이고, 직원들중 캐셔보시는 분 완전 불친절. ",0
5,완죤맛집~~~,1
1,맛이…,0
1,먹고 하루지난 뒤인 지금도 계속 배아파요ㅠㅠㅠ 혹시나하고 들어와봤더니 다른분들도 그러시네요,0
3,이정도면 맛있다고 할수 있는것 같습니다.  가면 또 가겠지만 일부러 먹으러 찾아갈까 싶기도 한 적당한 집. 당면넣어주는게 좋았어요ㅎ,0
5,매번 좋은 사람들 만날때 방문하는데 매번 맛이 좋네요. ,1
5,학원끝나고 일주일에 두세번은 가는 듯 ㅎㅋㅋㅋ 장인닭갈비 너무 맛있어요!,1
5,매운 닭갈비에 치즈추가하면 남부러울게 없지,1
4,룸에서 모임하기 좋아요.,1
5,너무 조치 룸도 잇고 근데 환기가 안됨 ㅠ 그리고 카운터 남자분 일 똑바로 햇으면 ㅠ 싸1가지 진짜 가정교육 된장찌개에 밥말아먹엇나,1
2,"여기올때마다느끼는거지만 카운터 직원, 맨앞에서 자리응대하는직원 참 불친절... 말풍선 다보인다. 말하는게 기본이 안된듯",0
5,,1
2,바닥이 너무 미끌거림..  파채는 도끼로 써는듯,0
4,친구들과 즐겁게 식사하고 왔어요. 룸도 있어서 룸에서 먹으니 좋네요!,1
5,,1
1,원래 리뷰 아예안쓰는데 처음 씁니다.  오랜만에 왔는데 서비스는 개나 줘버리고 고기올려놓고 까먹은건지 뭔지 오지도 않고 이게 소고기인지 고무씹는건지 모르겠네요. 맛있다고 지인 데려왔는데 다신 안올거같아요 만원짜리 삼겹살집이 더 나았을듯 ,0
1,아니 고기 몇만원어치를 먹는데 계속 안구워주고 벨을 눌러도 묵묵 부답 진짜 비싼값내고 먹는데 짜증나 죽을뻔함,0
2,5월초 당일전화 예약방문. 주메뉴 3개 있는 고깃집에 안심이 없다함. 착석전에 카운터에서 알려주든가. 마늘 다 타들어가서 불렀더니 멀뚱거리며 어쩌라고 하는 표정으로 서있음. 테이블수 대비 인원이 많이 부족해보임. ,0
2,가격 대비 서비스나 실수 후 응대가 너무 별로입니다,0
1,,0
3,왠지 모르지만 맛의 기복이 있어요 그리고 나갈 때쯤이면 거의 훈제인간 됨,0
2,호불호가 확실히 갈릴 거 같아요,0
3,,0
2,후식도있었나요? 못먹음 (디너) 창고43스페셜,0
4,,1
4,고기질 좋고 잘 구워줌. 가격은 비싼 편.  (1인당 16.7만 지불),1
4,,1
4,맛있고 깔끔하고 친절하셨어요 고기 다 구워주시고 최고,1
2,좋은 고기를 맛 없게 구워먹는 곳이란 느낌을 받았습니다. 고기 상태는 좋은데 구워주시는 분에 따라 평가가 다른 것 같네요.,0
1,,0
1,고기도 후식도 반찬도 어찌도 맛난 음식이 하나도 없나요  고기도 냄새나고 푸석푸석한 맛 깍두기도 아삭함이 전혀 없고 누룽지도 식감이 전혀 없고 반찬으로 나온 고사리 조차도 도대체 뭘 먹으라는건지...  초심을 잃으면 망해요,0
3,,0
2,팬은 무쇠팬인거 같은데 진짜 고기 못굽네요. 그냥 점심식사하는 거 외에는 비추. 돈아깝습니다,0
4,입에서 살살 녹아요.ㅎㅎ,1
4,고기맛이 끝내줘요~~,1
4,맛있어요,1
4,육전식당 신설동 본점도 자주 갔는데 강남에도 있길래 방문함. 기대가 너무 컸나 다들 맛나게 먹었지만 부족했음… 많이 시끄러워 대화하는데 목이 아팠다. 고기맛은 여전히 굿. ,1
3,오늘은 삼겹살이 질겼어요 목살은 겉바속촉이었는데 삼겹살 살코기 질김 무슨 일이죠? 원래 육즙팡팡 부드럽게 녹았잖아요 고기 상태 신경써주세요... 지인에게 자신있게 소개한 곳이었는데 아쉬운 자리였네요ㅠㅠ,0
5,맛있음,1
5,목살도 존맛 삼겹살은 대존맛 사진 왜 못찍었을까 나,1
1,,0
5,고기 자체가 맛있네요!!! 소금 갈치젓 다 맛있어요!,1
5,,1
4,맛잇으느 비싸다으,1
5,C'est tellement gentil ici que je peux sentir le goût coréen.,1
5,친절하고 너무 맛있었어요. 고기도 진짜 맛잇게 구워주시고..  근데 볶음밥은 진짜 별로에요. 비싼데 맛이없어요.. 고기많이드세요,1
4,,1
5,ㅈㅁㅌㅌㄱㄹ,1
4,,1
5,,1
3,맛은 있지만 가성비는 좋지 않아요,0
4,맛있고 직원 분들이 매우 친절하셨어요,1
4,직원 친절. 고기 맛있음. 가격은 비쌈,1
5,깔끔하고 맛있어요,1
5,제가 구워먹는 고기를 크게 선호하지 않는 편인데 여긴 진짜 맛있어요 ㅋㅋ 데려간 지인들도 다 만족했어요,1
4,"삼겹, 목살, 항정살 세개 먹어본것중 갠적으론 삼겹, 목살이 맛있음. 식당에서 먹은 고기중 맛이 손에 꼽힘 그러나 가격도 손에 꼽힘 + 직원분들 친절",1
5,,1
4,,1
2,"체인점, 예약 용이, 깔끔 ",0
1,포장/배달 서비스를 본인들 기분대로 하다가…말다가… 구멍가게도 아니고 일을 너무 아마추어 같이 합니까?! ,0
2,"18,000원에 150g... 삼겹살치곤 가격이 좀 있는편인데 그에 걸맞는 맛인지는 잘... 메리트라면 고기를 구워준다는것 이외에는 잘 모르겠네요..... 맛이 없진 않은데 그렇다고 저만한 가격을 줄만한 맛인지도 의문입니다",0
5,맛있어요 22 3344 사이드 전부 맛있어요 ㅠㅠ,1
4,맛있어요! ,1
5,,1
5,,1
1,맛도 그닥.. 가성비 별로. 제일 별로는 직원이 넘 싸가지 없음.. 다들 다른 곳 가시길.. 1점도 아까움ㅠ,0
1,삼겹살이 160그램에 18000원. 삼겹살 목살 각 1인분씩 주문하려고 했으나 첫 주문에는 최소 2인분 주문해야 한다고;;  맛이라도 특별하면 몰라 그냥 하남돼지집 수준.  매장도 너무 시끄러움 걍 도떼기시장 ㅇㅇ 바빠서 그런가 직원들은 짜증이 기본 베이스로 깔려있음. 주차장 넓고 직원이 직접 구워주고 냄새 안 밴다는 것만 장점,0
3,가격대비 그닥 특별함은.. 맛은있음,0
3,맛은있으나 가격이 생각보다비싸서 놀랐던기억이ㅠ,0
3,"고기맛이 나쁘진 않은데, 가격대비 훌륭한 느낌은 아니다 요기 갈 것 같으면 땅코간다!",0
1,"서비스, 위생 최악! 샐러드에서 철 수세미 나왔는데, 알바인지 직원인지 미안하단말 한마디도 없고 “바꿔드릴까요?” 이 한마디. 바꿔주는건 당연하고 사과부터 해야하는거 아닌가요? 두번째 구워주러 오신 남자분도 정말 대충대충 하기싫으시면 일하지마세요. 친절을 바라는게 아니라 손님이 불편함을 느낄정도의 불친절은 점주의 잘못인걸까요? 이글 지우지마시고, 제발 문제...",0
1,지금 먹고 있는데 다 태우시고 고기를 이렇게 얇게 썰어서 ㅜㅜ  직원 교육이 필요합니다,0
4,직접구워줘서 편하고 냄새도 안배서 좋음 다만 조금 어수선함 느낌. 고기맛도 쏘쏘~~,1
4,"맛있는데 양이 넘 적은거 같긔,,",1
4,,1
5,숙성삼겹살 맛있어요. 옷에 냄새도 안나고 땀안흘리고 고기먹고 왔어요~  www.dookupsam.com,1
4,맛있고 깔끔해서 좋네요,1
4,,1
4,맛있음,1
1,#무례한 단체손놈들 #능력없는 매니저 #도떼기시장,0
4,,1
4,,1
4,육회랑 계란찜 꼭 먹으세요. 진짜 맛있어요. 삼겹살이랑 소고기 등심도 아주 부드럽고 맛있네요. 직접 구워줘서 편하게 먹었어요.,1
5,대좐맛탱 감자전도 맛있어요 단골예약임,1
3,,0
2,,0
4,,1
5,떡도리탕,1
1,,0
5,맛있댜,1
3,,0
5,여긴 떡이 메인이에요~ 추가하게 되요 ㅋ 떡도 그냥 떡 아니고 너무 맛있어요~~ 감자채전은 두툼 바삭바삭 포슬포슬 케찹 찍어 먹어야 맛있어요!! 양념 너무 맛있은데 자극적일수 있어요~ 근데 닭볶음탕집 다 자극적이지 않나요? ㅋ 그맛에 먹죠^^,1
5,,1
5,,1
4,맛있는데 조금 짜요,1
4,달고 자극적인 맛! 맛있어요! 약간 떡볶이맛..?,1
2,맛은 있는건 둘째치고 너무 더움,0
1,직원 마스크 안씀  ㅎㅎㅎ 붙어있는 떡 떼는거 맨손으로 함  ㅎㅎㅎㅎ!!! 숟가락 가져다줄때 안씻은 손으로 입닿는부분 잡아서 주고요.  손씻는거 한번도 안보였네요 ㅎㅎㅎ!! 힐끔 보니까 주방에서도 마스크 안껴요 ^^  위생 감각 제로  밤에 술취해서 가면 안보일테니까 술취하시고 가서 드세용!! ^^!!!ㅎㅎㅎ 전 낮에가서 맨손으로 떡떼는거보고 토할뻔햇네요~...,0
1,일단 가게내부가 너어어어ㅓ무 덥다.. 가스버너 앞이어서 안그래도 더운데 실내 온도가 28~29도에서 내려가지를 않음 ㅜ 사장님 에어컨 새로 사세요ㅜㅜㅜ 떡이랑 양념 맛있긴한데... 닭고기가 거의다 가슴살.. 2인분 기준으로 닭반마리들어가는데 거의다 닭가슴살이었음...ㅜ,0
5,개개개존맛;; 떡이 진짜 미쳤고 닭도 안퍽퍽해요ㅠㅠㅠㅠ와 진짜 맛있어요... 국물도 미침;; 직원분들도 엄청 친절해요  대신 쪼금 아쉬운건 에어컨 안빵빵해서 약간 더워요ㅠㅠ 그거빼곤 또 오고싶을 정도로 음식 맛있었어요 ,1
1,제로페이 가맹점 아님. 문에 제로페이 스티커 붙어있는데 사장이 제로페이 안된다고 했음. 강남상품권 여기서 못 쓰니 헛수고 하지 마세요기분 좋게왔다가 여기 다시 안 오려고 즐겨찾기 지움. ,0
2,평일 저녁에 방문했는데 맛집은 아니고 술집에 가까움. 특이한거 없고 그냥 닭볶음탕에 떡 많이 들어간거라고 보면 될듯.,0
1,계산도 잘 못 해놓고 영수증두 안주시네요.ㅡ.ㅡ  돈을 더 냈는데 고의인지 실수인지 모르겠네요 ,0
2,,0
4,학생들이 좋아할 맛! 맵지 않고 달달해요 닭고기가 부드러움ㅎㅎ 술안주로 추천⭐️,1
5,감자채전,1
3,술안주로 좋아요 좀 달고,0
5,"전 아주 만족. 감자전이 감자튀김전이어서 제 스타일이었구 떡도리탕도 적절하게 맵구, 깍두기, 콩나물, 볶음밥 다 맛있어욤! 양도 적당했습니다. 평일 저녁에 20-30분 정도 대기해서 먹었어요",1
5,숙성돼지라 맛있었어요~~ 친절하시고 고기도 잘 구워주세요 추가주문도 테블릿으로 해서 편하고 단점은 늦게가면 웨이팅이 있다는 점?? ,1
4,괜찮음,1
5,존맛탱!! 인생 삼겹살집 입니다요,1
4,,1
5,진심 대박 맛있고! 특별한건 직원분이 끝까지 구워주시는게 최고! 내 인생  최고의 고기집이였음!,1
1,고기는 맛있는데 직원분들 태도는 그닥... 내 돈 주고가는데 왜 내가 가게직원 눈치를 봐야 하지?,0
1,20분다되도록 고기안나와서 두번이나 얘기했는데  죄송하다는 말도 그닥 성의없이 하시고 고객응대 서비스는 최악이었습니다.  고기는 맛있긴 함.,0
5,걍개마싯윰ㄹㅇ 좀비싸긴함,1
5,고기는 맛있어요~,1
5,고기 맛있어요ㅋㅋㅋ 된장밥 도 맛있고 비빔국수도 맛있고 유명해지기 전 부터 갔는데 .. 하 맛집이 되버려서 줄을 서야해서 우울하네요 ㅋㅋ,1
4,"콜키지프리, 이베리코목살은 퍽퍽했고 삼겹살 맛집",1
5,이름값 갑 한입먹자마자 육즙 오지고 개존맛탱 ,1
5,강남역 고깃집중에서는 최고입니다~ 고기자체 숙성이잘된건지 확실히 일반 체인점고깃집들하고는 차이가 있네요 ㅎㅎ ,1
1,직원들이 불친절. 바빠서 그런건 이해되는데 고기먹으러 갔다가 기분 잡침. ,0
1,"별점 1점도 아까운 수준의 서비스 그렇게 저렴한 가격도 아닌 곳이 서비스는 왜저렇게 저렴한지 모르겠음.   처음에 웨이팅 있냐고 전화로 물어봤는데, “웨이팅 있어요?” “네”  -> 웨이팅 있냐고 물으면 몇 팀정도 혹은 얼마나 기다려야하는지 말해줘야하는데 네 라니..? 강남역에 딱히 먹을만한 곳이 없어서 갔는데, 일하는 알바생들은 화가난것처럼 돌아다면서 고...",0
4,돼지고기 깔끔하게 먹고싶을때 가는 집 늘 웨이팅이 있습니다,1
1,별 1점도 아까웁니다 점심에 돈 내고 불친절함 느끼고 싶으면 가세요 들어왔는데 안내는 커녕 인사도 없고 테이블 셋팅도 우리팀보다 늦게 온 사람들부터 해주고 바쁜 것 같아 뒤에 올려진 물수건 가져다가 썼더니 그거 아니라면서 우리팀 옆팀 보는 앞에서 던지시더라구요? 몰랐다고 죄송하다고 했는데 아주 감사합니다ㅋ 옆팀도 얼마나 놀랬으면 대화를 중단했을까요 그나마 ...,0
4,맛있긴한데 자리가 너무 협소하고 하남돼지가 더 맛남,1
4,고기집에서 고기가 가장 특별했으면 그걸로 충분 비싼 임대료 때문인지 미식의 불모지인 강남역에서 이정도면 훌륭하다. 목살과 껍데기 항정살 추천,1
3,먹을거면 삼겹살말고 무조건 목살. 껍데기 항정살 먹고싶었으나 늦은시간이라 품절. 강남부근 괜찮은 맛집찾기가 너무 힘들어서 이정도면 나쁘진 않았지만 가격대비 반찬이 부실하고 고기 구워주는것도 좀 설렁설렁 느낌이 있음. 요즘 이런 프리미엄 느낌의 고깃집이 많기때문에 굳~이 재방문은 흠..? 근데 목살은 진짜 맛있게 먹음.,0
5,강남역에서 몇 안되는 찐맛집 인정!! 이름에 걸맞게 육즙터지는곳. 웨이팅이 길었지만 충분히 웨이팅 할 만한곳이었어요.,1
4,"한정 항정살 먹으러 왔습니다, 주방에서의 실수가 있었지만 맛이 그걸 극복하네요.",1
5,"강남역 지역, 특히 지오다노 뒷골목 쪽은 프랜차이즈만 즐비하고 고기 먹을 곳이 없었는데 이 곳이 생겼습니다. 고기 퀄리티가 상당한데 거기다 직원들이 직접 구워주니까 편하고 더욱 맛있어요. 저는 특히 목살이 정말 마음에 들었습니다. 와인에 한해서 콜키지 프리니까 돼지고기에 와인 곁들여 먹기 좋아하시는 분들은 참고하세요! ",1
4,가격이 저렴해 보이지만 맛있어서 먹다보면 많이 먹어서 계산 할 때 금액에 깜놀하는 곳이다.  하지만 어디서 먹더라도 이 곳 보다는 비쌀 것이다.  항정살이 한정수량이지만 먹어보니 역시 삼겹살이 제일 맛있으니 이 점 감안하면 좋을 것 같다.  사이드 메뉴 중 계란찜은 왠지 쫀득 한 게 내 입맛에 딱 맞다.  강남역에서 맘 놓고 배 불리 먹어도 적당한 착한 가...,1
1,고기가 맛없기 어려운데 진짜별로ㅠㅠ 재래기나 뭐 양파절임 이런거 하나도 없고 목살은 원래 퍽퍽하다쳐도 삼겹살도 퍽퍽함 알바가 못자르는건지 비계만 있거나 살코기만 있거나 하는경우도 있었는데 기본적으로 가격대비 너무 맛없음. 퍽퍽하고 육즙은 찾아볼슈도 없었다.. . 내가 평소 좋은것만 먹고다녀서 입맛이 높은건지 ㅋㅋㅋㅋㅋ네이버블로그 리뷰보고 갔는데 사람들입맛 ...,0
5,진짜 존맛탱입니다. 여기 맛없다고 한 사람들은 미각을 상실한건가..? 이정도 가격에 이정도 퀄과 음식이면 충분하죠! 술과 음식무제한!! 존맛탱입니다!!,1
5,맛있따 무제한인 게 좋고 꽤 깨끗하게 관리되는 듯,1
5,,1
5,자주가는곳 1인도 갈수있다 점심엔 무한리필을 좀더 저렴한 가격에 이용가능,1
5,2021년 8월2일부터 8월4일까지 여름휴가 가셨답니다ㅠㅠㅠ 가실분은 참고하세요ㅠㅜ ,1
1,유튜브 영상을 먼저 찾아본 다음 방문했는데 굉장히 굉장히 실망스럽습니다.  <기대> '유튜브에서 기대감을 너무 높여 놓은 탓일까'라고 스스로 합리화하려던 시도들도 같이 간 친구들에 의해 박살났습니다. 친구들도 실망감을 감추지 못하는 표정이었습니다.   <닭죽> 군대에서 먹었던 닭죽보다 맛이 없게 만들 수 있을 줄은 꿈에도 상상하지 못했습니다. 게다가 그걸 ...,0
3,좋게 말하면 굽네치킨을 싸게 먹는 맛. 나쁘게 말하면 딱 예상한 뻔한 맛. 음료 무료인 건 좋아요!,0
5,강남에서 이런 가성비를 찾다니 회전율도 빨라서 전체적으로 신선합니다. 고기도 야채도.,1
5,그냥 술 무제한 지려,1
3,,0
2,,0
3,가성비 대박 맛도 맛있고 메뉴도 다양 술 무한리필 굿,0
4,,1
1,1월5일 방문했는데요.. 혹시 저희만탈이난건가요?? 먹고다음날엄청고생했어요ㅠㅠㅠ 다른분들도 탈이났는지 궁금하네요 댓글남겨주세요,0
4,가성비최고,1
5,Best price,1
5,,1
4,"가성비 갑입니다,,,,",1
5,소주 맥주 무한 5천원쵝ㅎ. .,1
5,사장님이랑 종업원분 친절하셨어요 내부도 매우 청결하고 닭갈비랑 갓튀긴 치킨 맛있어요 가성비갑,1
5,싸고 맛있고 좋아요,1
4,닭갈비 무한리필. 닭상태 좋음. 회식 분위기. 강남에서 가성비 좋게 한 잔. 술 무한리필은 덤.,1
3,,0
5,최고 모든 것이 완벽 ,1
5,,1
4,맛있어요.. 곱창보다 대창을 선호하는데 여긴 곱창 곱이 쓰지않고 꽉 차있어서 맛있었어요. 부추에 곱창 기름이 스며들어서 부추랑 같이 먹으니까 더 맛있었습니다. 근데 사람이 엄청 많은데 직원분들이 별로없어서 굽기를 잘 봐주시는 것 같진 않아요. 너무 바빠보여서 탄 부분 잘라내달라고 하는 것도 죄송스러운.. 직원분들 더 있어야할거같아요. ,1
5,역시 맛집이라 대기가 많던데 오래 기다렸다고 음료서비스도 주시고 사장님넘감사했습니다. 아래 댓글에 서비스 불만글이 좀 있던데 바쁜만큼 이해할 수 있는정도였고 음식점이 맛있으면 됐죠. 큰 서비스 기대없이 방문하면 술한잔하기 최고입니다~,1
